,Ticker,Corr
760,دیوان,0.9813739475947411
181,بوعلی,0.9806729372640738
133,گوهران,0.9798749556646998
599,نگین,0.9735969286318531
367,سهگمت,0.9726862407805357
343,دفرا,0.9723534817099926
139,شرانل,0.9714697289516987
223,دسینا,0.9708740089310045
578,سمازن,0.9692294708438982
171,شبهرن,0.9692214281180137
818,درهآور,0.969195630180986
468,بفجر,0.9687255651675056
809,شپنا,0.9674877704770594
548,ساروج,0.9664414356249336
538,شسپا,0.9655149828280848
532,آسام,0.9626276734461804
78,داریک,0.9624336729821112
172,کاردان,0.9623924458895219
25,ارزش,0.9613655887302759
906,صنوین,0.960954549386105
626,آگاس,0.9605810313649413
849,سپاها,0.960239165424598
303,تیپیکو,0.9599571477734722
456,حپارسا,0.9598320547720499
214,فولاژ,0.9598303665959976
245,افران,0.959686353512057
711,آکورد,0.9596275079935352
618,اوصتا,0.9595119209371247
145,اعتماد,0.9595091058898078
729,وغدیر,0.9594800762058798
691,فیروزا,0.9594102109566613
419,سشمال,0.9593457103311647
730,تصمیم,0.9592017761760364
689,کاریس,0.9590858221154822
510,سیدکو,0.9589767987147485
525,فردا,0.958555437157774
96,سپیدما,0.9585241254531025
835,جم پیلن,0.9579626011202036
646,سپر,0.9579054113325896
155,آسامید,0.9577818334577446
474,سصوفی,0.957520110394021
318,خاتم,0.9573728296749155
873,کیان,0.957138835492981
114,سفانو,0.9546930105359257
900,فیروزه,0.9541978415317645
156,سشرق,0.9536885771088295
325,شبصیر,0.9534230369109561
611,شتران,0.9533462546983265
182,گنجین,0.9526130272796495
851,بذر,0.9520587606305727
484,مدیر,0.9519727763165609
221,صنم,0.9507866609579945
178,افق ملت,0.9502698203590974
753,تپمپی,0.9502103105012737
227,سخوز,0.9495511831905855
566,فایرا,0.9483824299027686
153,کامیاب,0.9481832749730711
304,تاصیکو,0.947400906898882
883,سمتاز,0.9470241633592527
586,ثمین,0.9460656335769343
426,حکشتی,0.9455464272440641
421,فولاد,0.9438780712907406
784,ستران,0.9437932429832249
33,ثبات,0.9435873747828696
231,فملی,0.9430927248681864
126,سهرمز,0.942918046767366
45,وپخش,0.9428384435153325
104,کاسپین,0.9424315143340783
911,کارا,0.9402279868023656
117,آتیمس,0.9401856186645172
482,ختوقا,0.9398467262347039
659,وسپه,0.9386901653526374
191,دعبید,0.9378625408915661
69,شستا,0.9377502914669217
780,ساروم,0.9372684222335117
313,فافق,0.9367381561052567
684,لطیف,0.9351159681104975
574,فزر,0.9348704124768392
603,ارفع,0.9348379951455938
295,سلام,0.9343677789324982
459,خزامیا,0.9341098119861169
353,اعتلا,0.9336403621568622
89,کیمیاتک,0.9332834538238028
690,دلر,0.932982464039343
530,دانا,0.9319881948926628
712,هم وزن,0.9318758354781843
833,ختراک,0.9313642353890227
533,ثهام,0.9312668996537232
142,قهکمت,0.931160745664692
379,مانی,0.9306763021410509
388,خدیزل,0.9291869746269135
642,دارو,0.9290308753072972
87,سفارس,0.9269801951684205
737,ویستا,0.9260808028482597
630,پردیس,0.9256832067423417
203,سیستم,0.9252243743742627
17,وبوعلی,0.9247247342296163
205,کصدف,0.9238970540252385
369,خفولا,0.9237670837853537
251,درسا,0.9230041313892348
410,خفنر,0.9215800459260932
859,خراسان,0.9214519223118318
344,وپست,0.92099693404918
775,هجرت,0.920433178752758
838,الماس,0.9188189380270909
761,البرز,0.9176687818465028
816,خریخت,0.9173734813168908
720,فاسمین,0.9167368632197667
670,غگل,0.9163551010919532
662,فتوسا,0.9157326753770315
759,پارسان,0.9138354778713323
463,کلوند,0.9131623675517361
383,فنوال,0.9129192405835559
208,یارا,0.9107356680664338
813,پسهند,0.9105965303372211
886,لوتوس,0.909541677164682
127,کرازی,0.9094345318956651
657,اوج,0.9070495856313917
742,ومشان,0.9050465936737611
624,دالبر,0.9043228782990627
275,نوری,0.901981672054386
48,وخاور,0.9014793380052579
804,غمینو,0.9010551504462434
331,ولقمان,0.9005473336440389
480,قزوین,0.8979320698852735
808,پتروما,0.8976244219080963
693,ضمان,0.8974804718589129
47,وبازار,0.8971787927973311
477,وبملت,0.895579286064405
887,وپترو,0.8953415450417088
430,تاراز,0.8950948925159083
