Ticker,Trade Type,Time,Open,High,Low,Close,Final,Close(%),Final(%),Day_UL,Day_LL,Value,BQ-Value,SQ-Value,BQPC,SQPC,Volume,Vol_Buy_R,Vol_Buy_I,Vol_Sell_R,Vol_Sell_I,No,No_Buy_R,No_Buy_I,No_Sell_R,No_Sell_I,Name,Market,Sector,Share-No,Base-Vol,Market Cap,EPS,Download
همای,تابلو,14:59:57,10106.0,10107.0,10106.0,10107.0,10106.0,0.13,0.12,11103.0,9085.0,1798986883003.0,0,0,0,0,178005344.0,113679006.0,64326338.0,89771587.0,88233757.0,2876.0,1136.0,6.0,756.0,4.0,صندوق س همای آگاه-ثابت,صندوق قابل معامله,صندوق سرمایه گذاری قابل معامله,7000000000.0,1.0,70742000000000.0,,1402-09-15 20:35:42
تابا,تابلو,12:27:53,28200.0,28200.0,27800.0,28200.0,27500.0,2.92,0.36,28200.0,26600.0,1728308200.0,435154200,0,217577100,0,61299.0,61299.0,0.0,61299.0,0.0,39.0,12.0,0.0,23.0,0.0,تابان نیرو سپاهان,پایه,خدمات فنی و مهندسی,62000000.0,620000.0,1705000000000.0,-296.0,1402-09-15 20:35:42
وارس,تابلو,12:29:41,40700.0,43100.0,40700.0,43100.0,43050.0,2.99,2.87,43100.0,40600.0,124579785650.0,0,0,0,0,2894850.0,1292862.0,1601988.0,1334217.0,1560633.0,194.0,45.0,2.0,83.0,4.0,سرمایه گذاری ارس صبا,پایه,سرمایه گذاریها,500000000.0,464577.0,21525000000000.0,2452.0,1402-09-15 20:35:42
گنگین,تابلو,12:29:29,50250.0,50750.0,48100.0,48200.0,49350.0,-2.72,-0.4,51000.0,48100.0,10847023700.0,0,0,0,0,219739.0,219739.0,0.0,110925.0,108814.0,43.0,24.0,0.0,11.0,2.0,اقتصادی نگین گردشگری ایرانیان,پایه,هتل و رستوران,3000000000.0,1.0,148050000000000.0,0.0,1402-09-15 20:35:42
امید,تابلو,12:29:48,3919.0,4010.0,3839.0,3870.0,3841.0,1.15,0.39,4017.0,3635.0,7167341532.0,0,0,0,0,1839589.0,1823410.0,16179.0,1546132.0,293457.0,181.0,57.0,1.0,67.0,2.0,تامین سرمایه امید,بورس,فعالیتهای کمکی به نهادهای مالی واسط,21779000000.0,8711600.0,83653139000000.0,421.0,1402-09-15 20:35:42
زکوثر2,بلوکی,9:20:32,27900.0,27900.0,27900.0,27900.0,27900.0,4.42,4.42,28590.0,24850.0,111600000000.0,0,0,0,0,4000000.0,0.0,4000000.0,0.0,4000000.0,1.0,0.0,1.0,0.0,1.0,سرمایه گذاری کشاورزی کوثر,بورس,زراعت و خدمات وابسته,2750000000.0,1.0,76725000000000.0,1909.0,1402-09-15 20:35:42
کایزد,تابلو,12:29:50,11590.0,12000.0,11500.0,11880.0,11760.0,3.3,2.26,12300.0,10700.0,24919944080.0,0,0,0,0,2119695.0,1894317.0,225378.0,1676145.0,443550.0,323.0,98.0,2.0,105.0,3.0,فرانسوز یزد,فرابورس,سایر محصولات کانی غیرفلزی,700000000.0,1.0,8232000000000.0,758.0,1402-09-15 20:35:42
شدوص,تابلو,12:29:39,23900.0,24480.0,23250.0,24480.0,24110.0,1.66,0.12,25760.0,22400.0,14573567530.0,0,0,0,0,604301.0,218315.0,385986.0,374459.0,229842.0,185.0,39.0,3.0,58.0,4.0,دوده  صنعتی  پارس ,بورس,محصولات شیمیایی,950000000.0,622148.0,22904500000000.0,3069.0,1402-09-15 20:35:42
سآبیک,تابلو,14:34:14,27500.0,28080.0,26910.0,27560.0,27520.0,-0.18,-0.33,28990.0,26230.0,63841206580.0,0,0,0,0,2319833.0,115881.0,2203952.0,630473.0,1689360.0,649.0,71.0,7.0,298.0,5.0,سیمان آبیک,بورس,سیمان، آهک و گچ,2959301084.0,1183720.0,81439965831680.0,3706.0,1402-09-15 20:35:42
فسدید,تابلو,6:10:39,0.0,0.0,0.0,170300.0,170300.0,0.0,0.0,172000.0,168600.0,0.0,0,72711447600,0,1136116369,0.0,,,,,0.0,,,,,لوله وتجهیزات  سدید - ورشکسته,پایه,فلزات اساسی,97800000.0,1.0,16655340000000.0,-10614.0,1402-09-15 20:35:42
