Ticker,Trade Type,Time,Open,High,Low,Close,Final,Close(%),Final(%),Day_UL,Day_LL,Value,BQ-Value,SQ-Value,BQPC,SQPC,Volume,Vol_Buy_R,Vol_Buy_I,Vol_Sell_R,Vol_Sell_I,No,No_Buy_R,No_Buy_I,No_Sell_R,No_Sell_I,Name,Market,Sector,Share-No,Base-Vol,Market Cap,EPS,Download
همای,تابلو,14:55:51,10061.0,10062.0,10061.0,10061.0,10061.0,0.07,0.07,11059.0,9049.0,1063901454456.0,0,0,0,0,105740848.0,70366691.0,35373857.0,96666071.0,9074477.0,3116.0,1045.0,2.0,1121.0,4.0,صندوق س همای آگاه-ثابت,صندوق قابل معامله,صندوق سرمایه گذاری قابل معامله,7000000000.0,1.0,70427000000000.0,,1402-11-09 14:56:12
تابا,تابلو,9:07:49,27300.0,27300.0,27300.0,27300.0,28100.0,-2.85,0.0,28900.0,27300.0,398525400.0,0,5189238600,0,216218275,14598.0,14598.0,0.0,14598.0,0.0,4.0,1.0,0.0,3.0,0.0,تابان نیرو سپاهان,پایه,خدمات فنی و مهندسی,62000000.0,620000.0,1742200000000.0,-564.0,1402-11-09 14:56:12
گنگین,تابلو,12:28:50,39150.0,41400.0,39150.0,41250.0,40800.0,2.23,1.12,41550.0,39150.0,6437297450.0,0,0,0,0,157753.0,157753.0,0.0,57753.0,100000.0,33.0,16.0,0.0,14.0,1.0,اقتصادی نگین گردشگری ایرانیان,پایه,هتل و رستوران,3000000000.0,1.0,122400000000000.0,1360.0,1402-11-09 14:56:12
امید,تابلو,12:29:55,3502.0,3620.0,3479.0,3555.0,3542.0,-1.9,-2.26,3805.0,3443.0,21731157270.0,0,0,0,0,6193587.0,4191527.0,2002060.0,1327510.0,4866077.0,886.0,81.0,2.0,30.0,1.0,تامین سرمایه امید,بورس,فعالیتهای کمکی به نهادهای مالی واسط,21779000000.0,8711600.0,77141218000000.0,463.0,1402-11-09 14:56:12
کایزد,تابلو,12:29:59,14910.0,14910.0,14000.0,14190.0,14230.0,-5.34,-5.07,16030.0,13950.0,62875608610.0,0,0,0,0,4419515.0,3744634.0,674881.0,4375965.0,43550.0,710.0,156.0,4.0,90.0,1.0,فرانسوز یزد,فرابورس,سایر محصولات کانی غیرفلزی,700000000.0,1.0,9961000000000.0,967.0,1402-11-09 14:56:12
سآبیک,تابلو,12:30:02,27500.0,28440.0,27500.0,28440.0,28180.0,1.39,0.46,29450.0,26650.0,30351149930.0,0,0,0,0,1076641.0,845719.0,230922.0,676145.0,400496.0,468.0,58.0,3.0,328.0,4.0,سیمان آبیک,بورس,سیمان، آهک و گچ,2959301084.0,1183720.0,83393104547120.0,4440.0,1402-11-09 14:56:12
فسدید,تابلو,12:23:49,133900.0,133900.0,133900.0,133900.0,133400.0,0.98,0.6,133900.0,131300.0,3258188700.0,3487693300,0,232512887,0,24333.0,24333.0,0.0,24333.0,0.0,23.0,5.0,0.0,16.0,0.0,لوله وتجهیزات  سدید - ورشکسته,پایه,فلزات اساسی,97800000.0,39120.0,13046520000000.0,-10614.0,1402-11-09 14:56:12
رکیش,تابلو,12:28:42,3020.0,3092.0,2920.0,2979.0,2973.0,-1.91,-2.11,3188.0,2886.0,16222831161.0,0,0,0,0,5455991.0,5253591.0,202400.0,5450313.0,5678.0,279.0,122.0,1.0,90.0,1.0,کارت اعتباری ایران کیش,بورس,رایانه و فعالیت های وابسته به آن,7000000000.0,5050505.0,20811000000000.0,28.0,1402-11-09 14:56:12
دقاضی,تابلو,12:21:37,25700.0,25700.0,25400.0,25650.0,25450.0,0.79,0.0,26700.0,24200.0,2290284600.0,0,0,0,0,89660.0,54918.0,34742.0,60088.0,29572.0,69.0,6.0,2.0,10.0,1.0,داروسازی شهید قاضی,فرابورس,مواد و محصولات دارویی,1700000000.0,680000.0,43265000000000.0,,1402-11-09 14:56:12
تصمیم4,عمده,14:45:18,29309.0,29309.0,29309.0,29309.0,29309.0,0.08,0.08,29310.0,28200.0,498253000000.0,0,0,0,0,17000000.0,0.0,17000000.0,0.0,17000000.0,1.0,0.0,1.0,0.0,1.0,صندوق س با درآمد ثابت تصمیم,صندوق قابل معامله,صندوق سرمایه گذاری قابل معامله,1000000000.0,1.0,29309000000000.0,,1402-11-09 14:56:12
