,Ticker,Adj Close
0,تابا,39700
1,وارس,51350
2,امید,5332
3,شدوص,4610
4,فسدید,192950
5,دقاضی,26800
6,دامین,6841
7,ثغرب,17690
8,وپویا,4622
9,وبوعلی,3083
10,سلار,89650
11,کفرآور,24846
12,بموتو,3409
13,ارزش,22330
14,فلات,53450
15,میدکوح,7400
16,میدکوح,7400
17,وثخوز,69790
18,فروس,4811
19,سدبیر,82800
20,وصندوق,22033
21,غبشهر,4587
22,وصنا,2804
23,دارا یکم,238070
24,آینده,9660
25,پشاهن,141750
26,وپخش,26473
27,وحکمت,4299
28,وخاور,4000
29,وخاور,4000
30,سیتا,10320
31,شصفها,245750
32,دشیمی,35000
33,تنوین,3593
34,برکت,11237
35,خمحور,8350
36,سجام,5214
37,زکوثر,31730
38,شبریز,18744
39,قرن,11146
40,شگویا,18627
41,لبوتان,23240
42,شستا,1331
43,تمحرکه,16390
44,لخزر,21467
45,ثرود,21493
46,داریک,19366
47,داوه,11129
48,کطبس,27393
49,ثاصفا,26750
50,سفارس,40230
51,فاراک,3184
52,ولبهمن,4822
53,خاذین,4773
54,سپیدما,18242
55,دتولید,17005
56,قثابت,4848
57,ونوین,6910
58,کاسپین,23046
59,حفاری,8198
60,وصنعت,1683
61,وبشهر,7152
62,سیمرغ,38800
63,ثباغ,17880
64,سفانو,107210
65,سفانو,107210
66,وسکاب,2212
67,آتیمس,347503
68,خموتور,6088
69,سپ,19170
70,سکرد,12033
71,های وب,3588
72,زماهان,20410
73,بترانس,3754
74,کرازی,2051
75,سنوین,9168
76,بساما,15299
77,وجامی,2630
78,گوهران,4129
79,ومهان,6168
80,ثشرق,42090
81,غگلستا,40200
82,قهکمت,12750
83,اعتماد,65602
84,فزرین,8255
85,کرمان,2001
86,سپرمی,67700
87,سکارون,91500
88,کفپارس,5245
89,آسامید,21965
90,سشرق,15190
91,نیرو,30362
92,شغدیر,88220
93,شکبیر,100032
94,همراه,6248
95,سبزوا,8042
96,غشهداب,4238
97,غپآذر,52593
98,ریشمک,12556
99,شبهرن,28305
100,غدام,79240
101,تایرا,12046
102,ثامان,42160
103,بوعلی,62480
104,گنجین,21354
105,فرابورس,14666
106,تملت,3550
107,زنجان,3578
108,وآفری,4499
109,دعبید,17100
110,شپارس,11184
111,دسبحان,8850
112,وبرق,101211
113,وبرق,101211
114,ولشرق,9350
115,وسالت,9729
116,وسالت,9729
117,سدشت,167490
118,آپ,12029
119,کشرق,211860
120,سیستم,19470
121,سیستم,19470
122,کصدف,29050
123,کصدف,29050
124,وتوصا,1734
125,کورز,14147
126,کورز,14147
127,خگستر,7380
128,شفن,8969
129,زنگان,109850
130,دحاوی,3044
131,سمایه,8270
132,سقاین,7430
133,وشهر,16200
134,دسینا,18970
135,زدشت,43550
136,فنرژی,54750
137,سخوز,59000
138,خساپا,3836
139,زشگزا,15110
140,فملی,8165
141,وسرمد,1959
142,تماوند,4747
143,وکار,3680
144,زگلدشت,27966
145,مبین,14229
146,دیران,13777
147,افران,24688
148,پلوله,49950
149,کاذر,8744
150,خعمرا,12008
151,حریل,4128
152,فنفت,33296
153,خپویش,25030
154,غبهار,26273
155,ساربیل,25460
156,زرین,22190
157,وتوکا,5161
158,بخاور,5700
159,ثبهساز,4469
160,نوری,151820
161,جم,60700
162,غمارگ,2100
163,پکرمان,43700
164,سفاسی,5560
165,زشریف,7960
166,خرینگ,26816
167,رافزا,23467
168,حبندر,22314
169,فلامی,15127
170,قشیر,15390
171,ساوه,159000
172,غزر,3948
173,ثنور,8110
174,تیپیکو,32337
175,تاصیکو,8980
176,وکبهمن,5320
177,ثامید,3199
178,ولتجار,5000
179,کاما,8650
180,سایرا,85347
181,آساس,38463
182,وگردش,6475
183,خاتم,19576
184,فاذر,3221
185,کارین,10228
186,پاکشو,7706
187,شبصیر,37002
188,بزاگرس,9285
189,ولقمان,2353
190,سبجنو,78890
191,زقیام,3860
192,ومعلم,2868
193,قجام,10030
194,خاهن,5964
195,دفرا,42800
196,کگل,7550
197,پکویر,7950
198,خپارس,2318
199,پترول,3220
200,غدشت,44159
201,وساپا,8497
202,اعتلا,4995
203,کمنگنز,24634
204,وتوکاح,3190
205,حرهشا,317750
206,سکرما,33830
207,تکنار,91200
208,شکلر,47549
209,خفولا,57450
210,خفولا,57450
211,کهمدا,7063
212,ثمسکن,9037
213,زبینا,5155
214,ثتوسا,49050
215,لازما,91900
216,شجم,10606
217,وسپهر,7980
218,وبیمه,2338
219,دفارا,36000
220,فنوال,11120
221,بکام,4402
222,چکاپا,5483
223,داسوه,63227
224,خدیزل,5860
225,زملارد,27400
226,معیار,6066
227,تبرک,18396
228,آوا,16099
229,آریان,6354
230,چکاوه,26120
231,بورس,10445
232,وسنا,22300
233,سبهان,121350
234,بنیرو,7559
235,خفنر,19410
236,رتکو,26650
237,وپسا,2727
238,سرچشمه,12019
239,خودرو,4417
240,سشمال,18860
241,شفا,25980
242,فولاد,6676
243,فراز,30500
244,فراز,30500
245,فراز,30500
246,رانفور,7830
247,حکشتی,16754
248,ثعتما,34900
249,خکمک,6118
250,بپیوند,20128
251,فاما,10701
252,ودی,7163
253,ونیرو,5920
254,اپال,21609
255,شبندر,12177
256,ممسنی,21900
257,امین یکم,10194
258,گشان,50650
259,غسالم,8726
260,دکپسول,89900
261,دکپسول,89900
262,وآوا,6910
263,وبهمن,6219
264,چخزر,100250
265,حپارسا,82714
266,وحافظ,7100
267,دجابر,21300
268,خزامیا,6586
269,جهرم,1488
270,شصدف,54451
271,کلوند,51904
272,گکیش,16255
273,کماسه,9131
274,سرود,50960
275,سرود,50960
276,کرماشا,27292
277,هرمز,6656
278,دروز,15803
279,سصوفی,36400
280,پتایر,3476
281,پتایر,3476
282,قزوین,10065
283,ختوقا,8651
284,مدیر,20964
285,وملی,312106
286,ثشاهد,21963
287,واحصا,39851
288,شلرد,12813
289,خنصیر,23218
290,سفارود,20050
291,ساراب,39000
292,سفار,378210
293,صایند,14772
294,تپکو,3191
295,شنفت,11052
296,کمینا,15640
297,سیدکو,18210
298,سرو,150250
299,ما,5453
300,دماوند,30482
301,کهرام,55150
302,پارس,3474
303,آبادا,18330
304,فبستم,15680
305,شپاس,35950
306,ختور,8848
307,تکشا,69700
308,فردا,19547
309,ولساپا,2101
310,دسبحا,14846
311,دانا,5400
312,پاسا,19010
313,کنور,9010
314,کوثر,3234
315,فلوله,6216
316,شسپا,6720
317,گپارس,218500
318,حخزر,21400
319,لکما,2133
320,وآذر,14802
321,حپترو,60590
322,ساروج,43450
323,بجهرم,4227
324,مرقام,12720
325,وسین,2996
326,کسرا,10624
327,شستان,9270
328,شیران,7243
329,رتاپ,6169
330,شیراز,35104
331,فایرا,7603
332,شخارک,70642
333,خاور,5688
334,نطرین,22030
335,غدیس,22574
336,سیلام,32840
337,سمازن,27700
338,تکمبا,10718
339,بالاس,52618
340,وملت,4636
341,ولراز,7000
342,آبین,10769
343,زاگرس,199621
344,شاملا,24020
345,وسدید,6740
346,شساخت,18669
347,سغرب,46000
348,ونیکی,10383
349,خشرق,20270
350,چافست,11690
351,کگهر,20543
352,نگین,94570
353,نگین,94570
354,نگین,94570
355,نگین,94570
356,نگین,94570
357,نگین,94570
358,نگین,94570
359,نگین,94570
360,نگین,94570
361,نگین,94570
362,نگین,94570
363,نگین,94570
364,ارفع,28800
365,ملت,2450
366,ملت,2450
367,قشکر,4150
368,حآسا,16646
369,شتران,3785
370,ساینا,66621
371,واعتبار,3696
372,دلقما,4117
373,اوصتا,33881
374,شراز,22600
375,شکربن,6810
376,کباده,15904
377,کباده,15904
378,کباده,15904
379,کباده,15904
380,دالبر,7473
381,نوین,3101
382,تفیرو,51600
383,پردیس,5760
384,واحیا,11393
385,فجام,8965
386,آریا,108216
387,وشمال,32900
388,سپر,21519
389,ورنا,10522
390,کیسون,2855
391,خبهمن,3039
392,آسیا,2785
393,غشاذر,11590
394,وسپه,5844
395,شاراک,46984
396,گنجینه,10419
397,اوان,26835
398,غگل,5733
399,تشتاد,7870
400,وتوسم,4101
401,آرمان,7370
402,آباد,121840
403,خمحرکه,14126
404,کبافق,46257
405,چدن,3417
406,فوکا,15723
407,دلر,36240
408,فیروزا,41935
409,فیروزا,41935
410,کی بی سی,26800
411,ولپارس,7300
412,ولصنم,7150
413,قشهد,23120
414,دزهراوی,9850
415,مادیرا,5200
416,خلنت,37170
417,شمواد,2871
418,خمهر,4409
419,فخوز,4795
420,آکورد,57735
421,فرآور,54413
422,دکیمی,51064
423,خچرخش,36326
424,فاسمین,7914
425,آ س پ,34950
426,بشهاب,29661
427,دسانکو,9901
428,غصینو,15225
429,وغدیر,27599
430,تصمیم,29751
431,بپاس,18389
432,ثالوند,19084
433,غالبر,95500
434,وبصادر,2833
435,خزر,5231
436,ومشان,20900
437,رویش,4352370
438,خصدرا,3510
439,پخش,27809
440,دبالک,12784
441,غگیلا,29852
442,شلعاب,27590
443,تپمپی,18329
444,تپمپی,18329
445,فمراد,25660
446,کپرور,16757
447,ثزاگرس,88950
448,البرز,2985
449,دپارس,72390
450,غاذر,25286
451,سخاش,4056
452,فالوم,11465
453,گکیشح,10310
454,فبیرا,3043
455,کپارس,13291
456,قیستو,13005
457,غشوکو,7595
458,هجرت,41500
459,ثپردیس,23950
460,ثنوسا,14370
461,ثنوسا,14370
462,ساروم,51030
463,تلیسه,6289
464,کمرجان,11590
465,فسا,1322
466,ستران,6836
467,فسازان,6514
