,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
294,47000,49350,44650,44650,45622,18018369,822031367970,11712,تبرک,گروه کارخانجات صنعتی تبرک,فرابورس,43411,45581,41240,41240,42138
295,10990,11200,10700,11149,11015,16176506,178177328553,3466,آوا,صندوق س.سهام آوای معیار-س,نامعلوم,10900,11108,10612,11058,10925
296,33950,33950,31974,33950,33364,10834243,361474453403,4715,وکادو,تکادو,پایه زرد,6269,6269,5904,6269,6161
297,22705,24109,22705,24090,23546,121565824,2862446864950,9179,آریان,سرمایه گذاری پارس آریان,پایه زرد,7318,7770,7318,7764,7589
298,67560,67560,64570,66480,67030,1326293,88895385380,653,چکاوه,صنایع کاغذسازی کاوه,بورس,23983,23983,22921,23599,23794
299,153990,153990,147770,150000,153270,11918661,1826806818570,14311,بورس,بورس اوراق بهادار تهران,بورس,16388,16388,15726,15964,16312
300,10000,10000,10000,10000,10000,3495955,34959550000,227,وآرین,شرکت توسعه اقتصادی آرین,پایه زرد,5224,5224,5224,5224,5224
301,43767,43767,42951,43767,43764,4551801,199207218586,1755,وسنا,سرمایه گذاری نیروگاهی ایران,پایه زرد,29344,29344,28797,29344,29342
302,157000,159500,147540,158190,155050,5655586,876884653760,13237,سبهان,سیمان بهبهان,بورس,123902,125875,116436,124841,122363
303,65680,65680,61854,64840,65203,1485847,96882108919,1196,لخانه,لوازم خانگی پارس,پایه زرد,31009,31009,29203,30613,30784
304,9350,10330,9350,10330,10170,161770562,1644527550820,28219,ثاخت,بین المللی توسعه ساختمان,بورس,9350,10330,9350,10330,10170
305,95380,95380,95100,95380,95380,803306,76617755240,1191,بنیرو,نیروترانس,بورس,4581,4581,4567,4581,4581
306,30410,33610,30410,32800,32170,14924421,480132854020,6541,خفنر,فنرسازی خاور,بورس,11288,12476,11288,12175,11942
307,36380,37300,35500,37300,37000,3438927,127240913150,2093,رتکو,کنترل خوردگی تکین کو,بورس,36380,37300,35500,37300,37000
308,37893,37893,37893,37893,36810,223459,8467531887,31,خبازرس,بازرسی مهندسی و صنعتی ایران,پایه زرد,35706,35706,35706,35706,34686
309,6673,7198,6673,7110,6786,33298729,225956369131,3176,وپسا,س. پتروشیمی ساختمان  خلیج فارس,پایه زرد,6658,7182,6658,7094,6771
310,15209,16730,15209,16700,15976,22334931,356834006361,5298,سرچشمه,سرمایه گذاری مس سرچشمه,فرابورس,9219,10141,9219,10123,9684
311,7500,7870,7130,7500,7660,1957398988,15000036226110,153512,خودرو,ایران خودرو,بورس,7500,7870,7130,7500,7660
312,19200,20000,19200,19800,19600,4263575,83555848220,1678,سشمال,سیمان شمال,بورس,10905,11360,10905,11246,11133
313,92410,92410,92410,92410,92410,1004010,92780564100,162,شفا,سرمایه گذاری شفادارو,بورس,31956,31956,31956,31956,31956
314,23260,23270,21070,23270,23260,864680953,20110219892860,173561,فولاد,فولاد مبارکه اصفهان,بورس,4463,4465,4043,4465,4463
315,52800,53440,50500,53440,52630,21487869,1130841093910,4549,وامید,گروه مدیریت سرمایه گذاری امید,بورس,14191,14363,13573,14363,14145
316,10000,10000,10000,10000,10000,2040983,20409830000,762,فراز,صندوق س.سهام فراز داریک-س,نامعلوم,10000,10000,10000,10000,10000
317,10000,10000,10000,10000,10000,13542089,135420890000,1976,فراز,صندوق س.سهام فراز داریک-س,نامعلوم,10000,10000,10000,10000,10000
318,10000,10000,10000,10000,10000,11594414,115944140000,664,فراز,صندوق س.سهام فراز داریک-س,نامعلوم,10000,10000,10000,10000,10000
319,10000,10000,10000,10000,10000,1967440,19674400000,385,فراز,صندوق س.سهام فراز داریک-س,نامعلوم,10000,10000,10000,10000,10000
320,10000,10000,10000,10000,10000,3341904,33419040000,553,فراز,صندوق س.سهام فراز داریک-س,نامعلوم,10000,10000,10000,10000,10000
321,52440,52440,51150,52440,52390,24075199,1261372851050,7653,رانفور,خدمات انفورماتیک,بورس,10389,10389,10134,10389,10380
322,87640,87640,83470,87640,87120,75667991,6592045359680,65424,حکشتی,کشتیرانی جمهوری اسلامی ایران,بورس,23460,23460,22344,23460,23321
323,72097,72097,72097,72097,72097,376824,27167879928,150,ثعتما,س. ساختمانی اعتماد گستر,پایه زرد,35865,35865,35865,35865,35865
