,Open,High,Low,Close,Final,Volume,Value,No,Ticker,Name,Market,Adj Open,Adj High,Adj Low,Adj Close,Adj Final
44,30620,30620,29150,29500,30520,16006462,488483353910,2051,وپخش,داروپخش (هلدینگ,بورس,27478,27478,26159,26473,27388
45,3453,3655,3453,3645,3639,6434663,23417495829,303,وحکمت,بیمه حکمت صبا,پایه زرد,3453,3655,3453,3645,3639
46,20000,20480,19930,20440,19970,1611997,32186364230,103,وبازار,صندوق س شاخصی بازارآشنا,نامعلوم,20000,20480,19930,20440,19970
47,3960,4005,3920,4000,3903,4499246,17892786179,278,وخاور,بانک خاورمیانه,بورس,3960,4005,3920,4000,3903
48,4000,4000,3944,4000,3969,20105346,79806264364,424,وخاور,بانک خاورمیانه,بورس,4000,4000,3944,4000,3969
49,3960,4005,3920,4000,3903,4499246,17892786179,278,وخاور,بانک خاورمیانه,بورس,3960,4005,3920,4000,3903
50,4000,4000,3944,4000,3969,20105346,79806264364,424,وخاور,بانک خاورمیانه,بورس,4000,4000,3944,4000,3969
51,18360,20190,18270,20180,18870,62351933,1176647416640,13136,سیتا,سرمایه گذاری سیمان تامین,بورس,16042,17641,15963,17632,16487
52,245750,245750,238200,245750,245600,532792,130842641350,345,شصفها,پتروشیمی اصفهان,پایه نارنجی,245750,245750,238200,245750,245600
53,2977,2983,2877,2965,2972,36969358,109858594671,1645,غگرجی,بیسکویت گرجی,بورس,2977,2983,2877,2965,2972
54,33550,35960,33550,35000,35380,1726449,61077512260,618,دشیمی,شیمی داروئی داروپخش,بورس,33550,35960,33550,35000,35380
55,71500,73150,69850,72550,72250,2746563,198455587450,2562,فروژ,صنایع فروآلیاژ ایران,فرابورس,65047,66548,63546,66002,65729
56,5690,5820,5530,5770,5680,33104856,187913800420,1433,تنوین,تامین سرمایه نوین,بورس,3544,3625,3444,3593,3537
57,23890,25300,23620,25300,25210,60085919,1514731611690,6473,برکت,گروه دارویی برکت,بورس,10611,11237,10491,11237,11197
58,8450,8470,8000,8470,8290,25965011,215203844200,1930,خمحور,تولیدمحورخودرو,بورس,8330,8350,7886,8350,8172
59,4270,4400,4087,4340,4189,22497961,94240418658,1078,سجام,مجتمع سیمان غرب آسیا,فرابورس,4270,4400,4087,4340,4189
60,14250,14960,14250,14650,14450,2053036,29669519410,195,حخزرح,ح.کشتیرانی دریای خزر,فرابورس,14250,14960,14250,14650,14450
61,8590,8590,8580,8590,8590,165177068,1418866929400,278278,تکاردان,تامین سرمایه کاردان,نامعلوم,8590,8590,8580,8590,8590
